timestamp,sensor,variable,value
1779906785819,imu,accel_x,1.85
1779906785819,imu,accel_y,1.22
1779906785819,imu,accel_z,9.84
1779906785819,imu,gyro_x,-0.36
1779906785819,imu,gyro_y,0.26
1779906785819,imu,gyro_z,-0.43
1779906785819,imu,mag_x,3.3000000000000003
1779906785819,imu,mag_y,-28.6
1779906785819,imu,mag_z,14.200000000000001
1779906785918,baro,presion,1012.0
1779906785918,baro,temp,19.72
1779906785918,baro,alt,499.3
1779906786019,gps,lat,-33.299706
1779906786019,gps,lon,-70.599595
1779906786019,gps,alt,502.0
1779906786821,imu,accel_x,1.3800000000000001
1779906786821,imu,accel_y,-1.5
1779906786821,imu,accel_z,9.84
1779906786821,imu,gyro_x,-0.28
1779906786821,imu,gyro_y,0.0
1779906786821,imu,gyro_z,0.32
1779906786821,imu,mag_x,13.100000000000001
1779906786821,imu,mag_y,-5.4
1779906786821,imu,mag_z,-14.600000000000001
1779906786921,baro,presion,1012.5
1779906786921,baro,temp,20.32
1779906786921,baro,alt,500.8
1779906787022,gps,lat,-33.299669
1779906787022,gps,lon,-70.600003
1779906787022,gps,alt,497.0
1779906787824,imu,accel_x,-1.23
1779906787824,imu,accel_y,-0.32
1779906787824,imu,accel_z,9.77
1779906787824,imu,gyro_x,0.48
1779906787824,imu,gyro_y,0.02
1779906787824,imu,gyro_z,-0.38
1779906787824,imu,mag_x,-14.4
1779906787824,imu,mag_y,-27.3
1779906787824,imu,mag_z,19.5
1779906787923,baro,presion,1013.3
1779906787923,baro,temp,19.71
1779906787923,baro,alt,500.1
1779906788024,gps,lat,-33.299401
1779906788024,gps,lon,-70.600394
1779906788024,gps,alt,498.0
1779906788827,imu,accel_x,-1.76
1779906788827,imu,accel_y,-1.49
1779906788827,imu,accel_z,9.81
1779906788827,imu,gyro_x,-0.08
1779906788827,imu,gyro_y,-0.21
1779906788827,imu,gyro_z,0.49
1779906788827,imu,mag_x,-8.4
1779906788827,imu,mag_y,16.400000000000002
1779906788827,imu,mag_z,-25.5
1779906788926,baro,presion,1013.9
1779906788926,baro,temp,19.75
1779906788926,baro,alt,500.3
1779906789027,gps,lat,-33.299796
1779906789027,gps,lon,-70.599061
1779906789027,gps,alt,501.0
1779906789830,imu,accel_x,-0.07
1779906789830,imu,accel_y,0.67
1779906789830,imu,accel_z,9.870000000000001
1779906789830,imu,gyro_x,-0.45
1779906789830,imu,gyro_y,0.49
1779906789830,imu,gyro_z,0.37
